Location,Year,Month,Estimated_Score,ALLSKY_SFC_SW_DWN,GWETROOT,PRECTOTCORR,T2M,WS2M,ALLSKY_SFC_SW_DWN_lag1,ALLSKY_SFC_SW_DWN_lag2,ALLSKY_SFC_SW_DWN_lag3,ALLSKY_SFC_SW_DWN_lag6,GWETROOT_lag1,GWETROOT_lag2,GWETROOT_lag3,GWETROOT_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag2,PRECTOTCORR_lag3,PRECTOTCORR_lag6,T2M_lag1,T2M_lag2,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WS2M_lag6,ALLSKY_SFC_SW_DWN_roll3,ALLSKY_SFC_SW_DWN_roll6,GWETROOT_roll3,GWETROOT_roll6,PRECTOTCORR_roll3,PRECTOTCORR_roll6,T2M_roll3,T2M_roll6,WS2M_roll3,WS2M_roll6,precip_temp_interaction,Month_sin,Month_cos,Year_normalized,Location_encoded
Carrizo Plain,2023,3,0.789,16.63,0.94,4.97,7.81,2.67,13.82,9.47,7.32,21.53,0.86,0.85,0.61,0.5,4.03,6.91,4.56,0.7,7.0,7.43,8.66,24.14,2.49,2.69,2.09,1.98,13.306666666666667,12.813333333333333,0.8833333333333333,0.715,5.303333333333334,3.59,7.413333333333333,9.975,2.6166666666666667,2.276666666666667,38.8157,1.0,6.123233995736766e-17,0.6,0
Carrizo Plain,2023,4,0.8643,25.5,0.85,0.01,12.54,2.17,16.63,13.82,9.47,17.24,0.94,0.86,0.85,0.5,4.97,4.03,6.91,0.02,7.81,7.0,7.43,19.09,2.67,2.49,2.69,1.57,18.650000000000002,14.19,0.8833333333333333,0.7733333333333333,3.003333333333334,3.5883333333333334,9.116666666666665,8.883333333333333,2.4433333333333334,2.3766666666666665,0.12539999999999998,0.8660254037844387,-0.49999999999999983,0.6,0
Carrizo Plain,2023,5,0.7018,27.06,0.67,0.37,15.13,2.13,25.5,16.63,13.82,12.4,0.85,0.94,0.86,0.53,0.01,4.97,4.03,1.05,12.54,7.81,7.0,9.86,2.17,2.67,2.49,2.15,23.063333333333333,16.633333333333333,0.82,0.7966666666666665,1.7833333333333332,3.475,11.826666666666666,9.761666666666667,2.3233333333333337,2.373333333333333,5.5981000000000005,0.49999999999999994,-0.8660254037844387,0.6,0
Carrizo Plain,2023,6,0.5742,28.16,0.56,0.44,17.79,2.17,27.06,25.5,16.63,7.32,0.67,0.85,0.94,0.61,0.37,0.01,4.97,4.56,15.13,12.54,7.81,8.66,2.13,2.17,2.67,2.09,26.906666666666666,20.106666666666666,0.6933333333333334,0.7883333333333334,0.2733333333333334,2.7883333333333327,15.15333333333333,11.283333333333331,2.1566666666666667,2.3866666666666663,7.8275999999999994,1.2246467991473532e-16,-1.0,0.6,0
Carrizo Plain,2023,7,0.546,29.6,0.5,0.02,26.58,1.97,28.16,27.06,25.5,9.47,0.56,0.67,0.85,0.85,0.44,0.37,0.01,6.91,17.79,15.13,12.54,7.43,2.17,2.13,2.17,2.69,28.273333333333337,23.46166666666667,0.5766666666666667,0.73,0.27666666666666667,1.64,19.833333333333332,14.475,2.0900000000000003,2.2666666666666666,0.5316,-0.4999999999999998,-0.8660254037844388,0.6,0
Carrizo Plain,2023,8,0.5415,25.64,0.5,0.54,24.41,2.07,29.6,28.16,27.06,13.82,0.5,0.56,0.67,0.86,0.02,0.44,0.37,4.03,26.58,17.79,15.13,7.0,1.97,2.17,2.13,2.49,27.8,25.43166666666667,0.52,0.6699999999999999,0.3333333333333333,1.0583333333333333,22.926666666666666,17.37666666666667,2.07,2.1966666666666668,13.181400000000002,-0.8660254037844384,-0.5000000000000004,0.6,0
Carrizo Plain,2023,9,0.5402,21.53,0.5,0.04,20.39,2.03,25.64,29.6,28.16,16.63,0.5,0.5,0.56,0.94,0.54,0.02,0.44,4.97,24.41,26.58,17.79,7.81,2.07,1.97,2.17,2.67,25.590000000000003,26.248333333333335,0.5,0.5966666666666667,0.20000000000000004,0.23666666666666666,23.793333333333333,19.473333333333333,2.023333333333333,2.09,0.8156,-1.0,-1.8369701987210297e-16,0.6,0
Carrizo Plain,2023,10,0.5388,17.31,0.5,0.15,18.79,1.9,21.53,25.64,29.6,25.5,0.5,0.5,0.5,0.85,0.04,0.54,0.02,0.01,20.39,24.41,26.58,12.54,2.03,2.07,1.97,2.17,21.493333333333336,24.883333333333336,0.5,0.5383333333333334,0.24333333333333332,0.26,21.196666666666665,20.515,1.9999999999999998,2.045,2.8185,-0.8660254037844386,0.5000000000000001,0.6,0
Carrizo Plain,2023,11,0.537,12.44,0.51,0.45,13.47,2.05,17.31,21.53,25.64,27.06,0.5,0.5,0.5,0.67,0.15,0.04,0.54,0.37,18.79,20.39,24.41,15.13,1.9,2.03,2.07,2.13,17.093333333333334,22.44666666666667,0.5033333333333333,0.5116666666666667,0.21333333333333335,0.2733333333333333,17.549999999999997,20.238333333333333,1.9933333333333332,2.0316666666666667,6.0615000000000006,-0.5000000000000004,0.8660254037844384,0.6,0
Carrizo Plain,2023,12,0.5377,8.78,0.55,3.09,10.99,2.1,12.44,17.31,21.53,28.16,0.51,0.5,0.5,0.56,0.45,0.15,0.04,0.44,13.47,18.79,20.39,17.79,2.05,1.9,2.03,2.17,12.843333333333334,19.216666666666665,0.52,0.5099999999999999,1.23,0.715,14.416666666666664,19.105,2.0166666666666666,2.02,33.9591,-2.4492935982947064e-16,1.0,0.6,0
