Location,Year,Month,Estimated_Score,ALLSKY_SFC_SW_DWN,GWETROOT,PRECTOTCORR,T2M,WS2M,ALLSKY_SFC_SW_DWN_lag1,ALLSKY_SFC_SW_DWN_lag2,ALLSKY_SFC_SW_DWN_lag3,ALLSKY_SFC_SW_DWN_lag6,GWETROOT_lag1,GWETROOT_lag2,GWETROOT_lag3,GWETROOT_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag2,PRECTOTCORR_lag3,PRECTOTCORR_lag6,T2M_lag1,T2M_lag2,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WS2M_lag6,ALLSKY_SFC_SW_DWN_roll3,ALLSKY_SFC_SW_DWN_roll6,GWETROOT_roll3,GWETROOT_roll6,PRECTOTCORR_roll3,PRECTOTCORR_roll6,T2M_roll3,T2M_roll6,WS2M_roll3,WS2M_roll6,precip_temp_interaction,Month_sin,Month_cos,Year_normalized,Location_encoded
Antelope Valley,2024,8,0.539,26.92,0.37,0.01,27.33,2.03,28.68,29.13,26.4,12.59,0.38,0.44,0.54,0.69,0.02,0.01,0.08,7.21,29.71,23.73,16.9,8.84,2.07,2.28,2.28,2.06,28.24333333333333,25.47666666666667,0.39666666666666667,0.5183333333333333,0.013333333333333629,0.5400000000000003,26.923333333333332,20.20333333333333,2.1266666666666665,2.2016666666666667,0.2733,-0.8660254037844384,-0.5000000000000004,0.8,1
Antelope Valley,2024,9,0.5385,22.08,0.37,0.02,25.24,1.84,26.92,28.68,29.13,18.22,0.37,0.38,0.44,0.71,0.01,0.02,0.01,2.55,27.33,29.71,23.73,10.27,2.03,2.07,2.28,2.32,25.893333333333334,26.12,0.37333333333333335,0.46166666666666667,0.01666666666666696,0.11833333333333362,27.426666666666662,22.698333333333334,1.9799999999999998,2.1216666666666666,0.5048,-1.0,-1.8369701987210297e-16,0.8,1
Antelope Valley,2024,10,0.537,17.27,0.37,0.02,21.77,1.53,22.08,26.92,28.68,23.51,0.37,0.37,0.38,0.67,0.02,0.01,0.02,0.57,25.24,27.33,29.71,13.28,1.84,2.03,2.07,2.23,22.09,25.08,0.37,0.4116666666666667,0.016666666666666965,0.026666666666666963,24.779999999999998,24.11333333333333,1.7999999999999998,2.005,0.4354,-0.8660254037844386,0.5000000000000001,0.8,1
Antelope Valley,2024,11,0.5349,12.57,0.37,0.2,11.7,2.18,17.27,22.08,26.92,26.4,0.37,0.37,0.37,0.54,0.02,0.02,0.01,0.08,21.77,25.24,27.33,16.9,1.53,1.84,2.03,2.28,17.30666666666666,22.775000000000002,0.37,0.38333333333333336,0.08000000000000031,0.04666666666666697,19.569999999999997,23.246666666666666,1.8499999999999999,1.9883333333333333,2.34,-0.5000000000000004,0.8660254037844384,0.8,1
Antelope Valley,2024,12,0.5355,10.44,0.37,0.04,11.59,1.93,12.57,17.27,22.08,29.13,0.37,0.37,0.37,0.44,0.2,0.02,0.02,0.01,11.7,21.77,25.24,23.73,2.18,1.53,1.84,2.28,13.426666666666664,19.66,0.37,0.37166666666666665,0.08666666666666696,0.051666666666666965,15.019999999999996,21.223333333333333,1.88,1.93,0.4636,-2.4492935982947064e-16,1.0,0.8,1
Antelope Valley,2025,1,0.5366,12.54,0.38,0.62,8.58,2.63,10.44,12.57,17.27,28.68,0.37,0.37,0.37,0.38,0.04,0.2,0.02,0.02,11.59,11.7,21.77,29.71,1.93,2.18,1.53,2.07,11.85,16.970000000000002,0.37333333333333335,0.37166666666666665,0.28666666666666696,0.15166666666666698,10.62333333333333,17.701666666666664,2.2466666666666666,2.0233333333333334,5.3196,0.49999999999999994,0.8660254037844387,1.0,1
Antelope Valley,2025,2,0.579,14.81,0.46,2.28,11.66,2.37,12.54,10.44,12.57,26.92,0.38,0.37,0.37,0.37,0.62,0.04,0.2,0.01,8.58,11.59,11.7,27.33,2.63,1.93,2.18,2.03,12.596666666666664,14.951666666666668,0.4033333333333333,0.38666666666666666,0.9800000000000001,0.5300000000000002,10.609999999999998,15.090000000000002,2.3099999999999996,2.08,26.584799999999998,0.8660254037844386,0.5000000000000001,1.0,1
Antelope Valley,2025,3,0.6515,17.83,0.5,1.51,10.99,2.49,14.81,12.54,10.44,22.08,0.46,0.38,0.37,0.37,2.28,0.62,0.04,0.02,11.66,8.58,11.59,25.24,2.37,2.63,1.93,1.84,15.059999999999997,14.243333333333334,0.4466666666666667,0.4083333333333334,1.4700000000000004,0.7783333333333337,10.409999999999998,12.715000000000002,2.4966666666666666,2.188333333333333,16.5949,1.0,6.123233995736766e-17,1.0,1
Antelope Valley,2025,4,0.693,22.72,0.46,0.22,14.44,2.19,17.83,14.81,12.54,17.27,0.5,0.46,0.38,0.37,1.51,2.28,0.62,0.02,10.99,11.66,8.58,21.77,2.49,2.37,2.63,1.53,18.453333333333333,15.151666666666666,0.47333333333333333,0.42333333333333334,1.336666666666667,0.811666666666667,12.36333333333333,11.493333333333332,2.3499999999999996,2.2983333333333333,3.1768,0.8660254037844387,-0.49999999999999983,1.0,1
Antelope Valley,2025,5,0.5942,26.02,0.41,0.18,19.18,2.09,22.72,17.83,14.81,12.57,0.46,0.5,0.46,0.37,0.22,1.51,2.28,0.2,14.44,10.99,11.66,11.7,2.19,2.49,2.37,2.18,22.189999999999998,17.393333333333334,0.4566666666666667,0.43,0.636666666666667,0.8083333333333336,14.869999999999997,12.74,2.2566666666666664,2.283333333333333,3.4524,0.49999999999999994,-0.8660254037844387,1.0,1
Antelope Valley,2025,6,0.5478,-999.0,0.38,0.0,23.61,2.26,26.02,22.72,17.83,10.44,0.41,0.46,0.5,0.37,0.18,0.22,1.51,0.04,19.18,14.44,10.99,11.59,2.09,2.19,2.49,1.93,-316.75333333333333,-150.84666666666666,0.4166666666666667,0.4316666666666667,0.13333333333333378,0.8016666666666669,19.076666666666664,14.743333333333332,2.1799999999999997,2.3383333333333334,0.0,1.2246467991473532e-16,-1.0,1.0,1
Antelope Valley,2025,7,0.5403,-999.0,0.37,0.01,24.53,2.35,-999.0,26.02,22.72,12.54,0.38,0.41,0.46,0.38,0.0,0.18,0.22,0.62,23.61,19.18,14.44,8.58,2.26,2.09,2.19,2.63,-657.3266666666667,-319.43666666666667,0.3866666666666667,0.43,0.06333333333333378,0.7000000000000003,22.439999999999998,17.401666666666667,2.233333333333333,2.2916666666666665,0.24530000000000002,-0.4999999999999998,-0.8660254037844388,1.0,1
Antelope Valley,2025,8,0.5388,-999.0,0.37,0.09,27.33,1.96,-999.0,-999.0,26.02,14.81,0.37,0.38,0.41,0.46,0.01,0.0,0.18,2.28,24.53,23.61,19.18,11.66,2.35,2.26,2.09,2.37,-999.0,-488.405,0.37333333333333335,0.415,0.03333333333333378,0.33500000000000024,25.156666666666666,20.013333333333332,2.19,2.223333333333333,2.4596999999999998,-0.8660254037844384,-0.5000000000000004,1.0,1
